license_number,company_name,company_dba,license_classification,2 or more companies,# in each license,issued_date,naics_code,naics_name,,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
GBL-0122-09059,"PreView Restaurant, LLC.",PreView Restaurant,Accommodation and Food Services,,3,2025-01-04 17:05:32,722511,Full-Service Restaurants ,naics_name,,2221 Peachtree Rd NE,,,,Suite E,Atlanta,GA,30309,2221 Peachtree Rd NE nan nan Atlanta GA 30309,"2221 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.39114199,33.81458899,FALSE,7,E
GBL-0122-09096,Botanico Hospitality Group LLC,Palo Santo,Accommodation and Food Services,,0,2025-02-15 18:35:39,722511,Full-Service Restaurants ,Full-Service Restaurants ,,955 W Marietta ST NW,,,,,Atlanta,GA,30318,955 W Marietta ST NW nan nan Atlanta GA 30318,"955 W Marietta St NW, Atlanta, Georgia, 30318",-84.41810792,33.7841318,FALSE,3,K
GBL-0122-09132,FACILITY CONCESSION SERVICE LLC,THE VARIETY PLAYHOUSE,Accommodation and Food Services,,4,2025-01-30 13:05:38,722310,Food Service Contractors,Food Service Contractors,,1099,EUCLID,AVE,NE,,ATLANTA,GA,30307,1099 EUCLID AVE ATLANTA GA 30307,"1099 Euclid Ave NE, Atlanta, Georgia, 30307",-84.35097038,33.76360623,FALSE,2,N
GBL-0122-09132,FACILITY CONCESSION SERVICE LLC,THE VARIETY PLAYHOUSE,Accommodation and Food Services,,7,2025-01-30 13:05:38,722310,Food Service Contractors,Drinking Places (Alcoholic Beverages) ,,1099,EUCLID,AVE,NE,,ATLANTA,GA,30307,1099 EUCLID AVE ATLANTA GA 30307,"1099 Euclid Ave NE, Atlanta, Georgia, 30307",-84.35097038,33.76360623,FALSE,2,N
GBL-0122-09132,FACILITY CONCESSION SERVICE LLC,THE VARIETY PLAYHOUSE,Accommodation and Food Services,,38,2025-01-30 13:05:38,722310,Food Service Contractors,Snack and Nonalcoholic Beverage Bars ,,1099,EUCLID,AVE,NE,,ATLANTA,GA,30307,1099 EUCLID AVE ATLANTA GA 30307,"1099 Euclid Ave NE, Atlanta, Georgia, 30307",-84.35097038,33.76360623,FALSE,2,N
GBL-0122-09133,FACILITY CONCESSION SRVS LLC,TERMINAL WEST/STATIONSIDE,Accommodation and Food Services,,0,2025-02-04 12:06:36,722310,Food Service Contractors,"Cafeterias, Grill Buffets, and Buffets ",,887,W MARIETTA,ST,NW,STE C&D,ATLANTA,GA,30318,887 W MARIETTA ST ATLANTA GA 30318,"887 W Marietta St NW, Atlanta, Georgia, 30318",-84.40740599,33.77666939,FALSE,3,E
GBL-0122-09453,Atrium Ponce City Market,,Accommodation and Food Services,,0,2025-01-21 15:37:18,722511,Full-Service Restaurants ,Mobile Food Services,,675,PONCE DE LEON,AVE,NE,STE 153-158,Atlanta,GA,30308,675 PONCE DE LEON AVE Atlanta GA 30308,"675 Ponce de Leon Ave NE, Atlanta, Georgia, 30308",-84.36574969,33.77300251,FALSE,2,M
GBL-0122-09486,Dream Provisions LLC,Dream Provisions,Accommodation and Food Services,x,0,2025-01-22 15:05:13,722310,Food Service Contractors,Retail Bakeries ,,448 Ralph D Abernathy,,BLVD,SW,6,Atlanta,GA,30312,448 Ralph D Abernathy nan BLVD Atlanta GA 30312,"448 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30312",-84.40259201,33.73645201,TRUE,4,V
GBL-0122-09487,Irie Mon LLC,Irie Mon Cafe,Accommodation and Food Services,x,9,2025-02-11 02:53:02,722511,Full-Service Restaurants ,Baked Goods Stores ,,1800 Peachtree Rd NW,,,,101 & 103,Atlanta,GA,30309,1800 Peachtree Rd NW nan nan Atlanta GA 30309,"1800 Peachtree St NW, Atlanta, Georgia, 30309",-84.39417415,33.80359847,FALSE,8,E
GBL-0122-09530,Whiskey 2.0 LLC,Whisky Mistress,Accommodation and Food Services,,61,2025-01-03 06:08:31,722410,Drinking Places (Alcoholic Beverages) ,"Beer, Wine, and Liquor Stores ",,3161,MAPLE,DR,NE,,Atlanta,GA,,3161 MAPLE DR Atlanta GA nan,"3161 Maple Dr NE, Atlanta, Georgia, 30305",-84.37186303,33.84162264,FALSE,7,B
GBL-0122-09530,Whiskey 2.0 LLC,Whisky Mistress,Accommodation and Food Services,x,,2025-01-03 06:08:31,722410,Drinking Places (Alcoholic Beverages) ,Commercial Bakeries ,,3161,MAPLE,DR,NE,,Atlanta,GA,,3161 MAPLE DR Atlanta GA nan,"3161 Maple Dr NE, Atlanta, Georgia, 30305",-84.37186303,33.84162264,FALSE,7,B
GBL-0123-17968,Cafe Sunflower Inc,Cafe Sunflower,Accommodation and Food Services,x,,2025-01-18 17:09:21,722511,Full-Service Restaurants ,Other Vegetable (except Potato) and Melon Farming ,,2140 Peachtree Rd Ste 290,,,,,Atlanta,GA,30309,2140 Peachtree Rd Ste 290 nan nan Atlanta GA 30309,"2140 Peachtree Rd NW, Suite 290, Atlanta, Georgia, 30309",-84.39365925,33.81278135,FALSE,8,C
GBL-0123-17972,JM LINK,I LOVE WING,Accommodation and Food Services,x,,2025-02-07 08:51:25,722511,Full-Service Restaurants ,Meat Processed from Carcasses ,SW,3030 HEADLAND 1100,,DR,,,ATLANTA,GA,30311,3030 HEADLAND 1100 nan DR ATLANTA GA 30311,"3030 Headland Dr SW, Atlanta, Georgia, 30311",-84.48763916,33.68861456,TRUE,11,R
GBL-0123-17974,"BTW Atlanta, LLC",Buckhead Saloon,Accommodation and Food Services,,,2025-03-06 23:03:25,722511,Full-Service Restaurants ,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,,34 A Irby Avenue NE Atlanta Georgia 30305,,,,,,,,34 A Irby Avenue NE Atlanta Georgia 30305 nan nan nan nan nan,"34 Irby Ave NW, Atlanta, Georgia, 30305",-84.38060192,33.84100548,FALSE,8,B
GBL-0123-17993,SK2R LLC,Poke City,Accommodation and Food Services,,,2025-01-30 09:05:47,722511,Full-Service Restaurants ,Community Food Services ,,2221 Peachtree Rd NE,,,,Suite A,Atlanta,GA,30309,2221 Peachtree Rd NE nan nan Atlanta GA 30309,"2221 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.39114199,33.81458899,FALSE,7,E
GBL-0123-18174,"Yakitori Kona, LLC",,Accommodation and Food Services,,,2025-01-23 13:05:31,722511,Full-Service Restaurants ,Meat Markets ,,1024,NORTH HIGHLAND ,AVE,NE,STE 1004,Atlanta,GA,30306,1024 NORTH HIGHLAND  AVE Atlanta GA 30306,"1024 N Highland Ave NE, Atlanta, Georgia, 30306",-84.35443542,33.78266761,FALSE,6,F
GBL-0123-18265,So Nat Partners LLC,Southern National Atlanta,Accommodation and Food Services,,,2025-02-15 18:53:23,722511,Full-Service Restaurants ,Meat and Meat Product Merchant Wholesalers ,,"72 Georgia Avenue, Suite 100",,,,,Atlanta,GA,30312,"72 Georgia Avenue, Suite 100 nan nan Atlanta GA 30312","72 Georgia Ave SE, Atlanta, Georgia, 30312",-84.38519445,33.73699134,FALSE,1,V
GBL-0123-18265,So Nat Partners LLC,Southern National Atlanta,Accommodation and Food Services,,,2025-02-15 18:53:23,722511,Full-Service Restaurants ,Fresh Fruit and Vegetable Merchant Wholesalers ,,"72 Georgia Avenue, Suite 100",,,,,Atlanta,GA,30312,"72 Georgia Avenue, Suite 100 nan nan Atlanta GA 30312","72 Georgia Ave SE, Atlanta, Georgia, 30312",-84.38519445,33.73699134,FALSE,1,V
GBL-0123-18309,TTK THAI SS LLC,TydeTate Kitchen,Accommodation and Food Services,,,2025-02-07 10:34:31,722511,Full-Service Restaurants ,Dairy Product (except Dried or Canned) Merchant Wholesalers ,,229 Mitchell Street,,,,,Atlanta,GA,30303,229 Mitchell Street nan nan Atlanta GA 30303,"229 Mitchell St SW, Atlanta, Georgia, 30303",-84.395083,33.75235994,FALSE,4,M
GBL-0123-18309,SAGJAC LLC,TydeTate Kitchen,Accommodation and Food Services,,,2025-02-07 10:34:31,722511,Full-Service Restaurants ,Beer and Ale Merchant Wholesalers ,,229 Mitchell Street,,,,,Atlanta,GA,30303,229 Mitchell Street nan nan Atlanta GA 30303,"229 Mitchell St SW, Atlanta, Georgia, 30303",-84.395083,33.75235994,FALSE,4,M
GBL-0123-18323,Tres Paisani Inc,Totally Nutz,Accommodation and Food Services,,,2025-02-11 02:52:36,722515,Snack and Nonalcoholic Beverage Bars ,0,,548 woodall ,,AVE,,,Atlanta,GA,30306,548 woodall  nan AVE Atlanta GA 30306,"548 Woodall Ave NE, Atlanta, Georgia, 30306",-84.35982527,33.76868701,FALSE,2,N
GBL-0123-18389,Metro Atlanta Enterprise Inc,Westside Pizzeria,Accommodation and Food Services,,,2025-02-11 09:04:49,722511,Full-Service Restaurants ,,,2260 Marietta Blvd NW,,BLVD,,Ste 107,ATLANTA,GA,30318,2260 Marietta Blvd NW nan BLVD ATLANTA GA 30318,"2260 Marietta Blvd NW, Atlanta, Georgia, 30318",-84.44813432,33.81668409,FALSE,9,D
GBL-0123-18389,Metro Atlanta Enterprise Inc,Westside Pizzeria,Accommodation and Food Services,x,,2025-02-11 09:04:49,722511,Full-Service Restaurants ,,,2260 Marietta Blvd NW,,BLVD,,Ste 107,ATLANTA,GA,30318,2260 Marietta Blvd NW nan BLVD ATLANTA GA 30318,"2260 Marietta Blvd NW, Atlanta, Georgia, 30318",-84.44813432,33.81668409,FALSE,9,D
GBL-0123-18475,"Ira Lane Coffee, LLC",HSU’s Gourmet,Accommodation and Food Services,x,,2025-02-07 08:52:42,722511,Full-Service Restaurants ,,,192 Peachtree Center Ave,,,,A-30 Cain Tower,Atlanta,GA,30303,192 Peachtree Center Ave nan nan Atlanta GA 30303,"192 Peachtree Center Ave NE, Atlanta, Georgia, 30303",-84.386426,33.759474,FALSE,2,M
GBL-0123-18475,Auriga 8 LLC,HSU’s Gourmet,Accommodation and Food Services,x,,2025-02-07 08:52:42,722511,Full-Service Restaurants ,,,192 Peachtree Center Ave,,,,A-30 Cain Tower,Atlanta,GA,30303,192 Peachtree Center Ave nan nan Atlanta GA 30303,"192 Peachtree Center Ave NE, Atlanta, Georgia, 30303",-84.386426,33.759474,FALSE,2,M
GBL-0124-25907,W AND G BAO BUN HIBACHI ATLANTA INC,Ira Lane Coffee,Accommodation and Food Services,,,2025-02-11 02:53:35,722514,"Cafeterias, Grill Buffets, and Buffets ",,,315 Deshler,,ST,SW,,Atlanta,GA,30310,315 Deshler nan ST Atlanta GA 30310,"315 Deshler St SW, Atlanta, Georgia, 30310",-84.43455774,33.71121485,TRUE,12,S
GBL-0124-25930,Curated Coffee Books & Plants LLC,MJQ Concourse,Accommodation and Food Services,,,2025-02-11 22:09:36,722410,Drinking Places (Alcoholic Beverages) ,,,"50 Alabama, Lower",,,,Suite 001,Atlanta,GA,30303,"50 Alabama, Lower nan nan Atlanta GA 30303","50 Lower Alabama St, Atlanta, Georgia, 30303",-84.39068706,33.75265773,FALSE,4,M
GBL-0124-26054,Roberts Brand LLC,,Accommodation and Food Services,,,2025-01-27 12:09:04,722511,Full-Service Restaurants ,,,1715 Howell Mill Rd NW,,,,Suite #C15-A,Atlanta,GA,30318,1715 Howell Mill Rd NW nan nan Atlanta GA 30318,"1715 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.41433514,33.80115498,FALSE,9,D
GBL-0124-26122,Sodexo@CSX Redi Center Atlanta,,Accommodation and Food Services,x,,2025-01-30 17:03:44,722330,Mobile Food Services,,,324,CLIMAX,Street,SE,,Atlanta,GA,30315,324 CLIMAX Street Atlanta GA 30315,"324 Climax St SE, Atlanta, Georgia, 30315",-84.37755107,33.72126044,TRUE,1,Y
